joint2_to_joint1,joint3_to_joint2,joint4_to_joint3,joint5_to_joint4,joint6_to_joint5,joint6output_to_joint6,joint2_to_joint1_vel,joint3_to_joint2_vel,joint4_to_joint3_vel,joint5_to_joint4_vel,joint6_to_joint5_vel,joint6output_to_joint6_vel
-0.6480932469967945,-1.2812871175072083,-0.8336340389745421,0.5243520378442547,-0.0004613180182564615,-0.0004613180133743359,-7.920607043166015e-12,0.3912485613029367,0.15238033335200285,-0.5211230046620605,4.3990004115174254e-11,3.170224836631941e-11
-0.6480932469976127,-1.2432462392900028,-0.8123482034947769,0.46736664405642653,-0.00046131801368292264,-0.0004613180100649629,-7.538634393028258e-12,0.3266386120575649,0.24909104124265696,-0.5540124679366344,4.239678030649407e-11,3.079639519918954e-11
-0.6480932469984196,-1.2110267482373482,-0.7795919586668512,0.4047322280852735,-0.00046131800911507144,-0.0004613180067334003,-6.3001558593360084e-12,0.23091712036169515,0.2997372289417157,-0.5122681434867304,3.585169577783194e-11,2.6234538434555708e-11
-0.6480932469992157,-1.18540453828502,-0.7341471998592309,0.3360065792338988,-0.00046131800455297855,-0.00046131800338033464,-3.671974942149433e-12,0.10867050450965131,0.22935734123889606,-0.32718795758365593,2.111411749023738e-11,1.5550624314250922e-11
-0.6480932470000011,-1.1675605621191048,-0.6738921612831762,0.26024888440097665,-0.00046131799999678307,-0.0004613180000065367,0.0,0.0,0.0,0.0,0.0,0.0
-0.6480932470000011,-1.1675605621191048,-0.6738921612831762,0.26024888440097665,-0.00046131799999678307,-0.0004613180000065367,0.0,0.0,0.0,0.0,0.0,0.0
-0.6480932470000011,-1.1675605621191048,-0.6738921612831762,0.26024888440097665,-0.00046131799999678307,-0.0004613180000065367,0.0,0.0,0.0,0.0,0.0,0.0
-0.6254894548879971,-1.0821296655635981,-0.8526280651771084,0.35356008299078423,-0.0005862147054424995,-0.012460724660413477,0.14350449820374261,0.4791211814446872,-1.0,0.5209196547108037,-0.0007342689458733299,-0.0705679606457917
-0.6018038238593626,-1.011273881489759,-1.0001614221471093,0.430244594854011,-0.0006997799762423886,-0.023378352313679573,0.17698217509419983,0.48125061560585114,-1.0,0.5188012079570696,-0.0007808009942392796,-0.07508859880168699
-0.5769778896086157,-0.9493782942612669,-1.1285138180748004,0.496708670085208,-0.0008014147979330568,-0.03315573960627047,0.20976741723628728,0.4831247561075609,-1.0,0.5169328861251272,-0.0007827546525266446,-0.07531349739242071
